Age_Group,People_Fire_Exposure
0-4 years,603.7703676934228
5-14 years,585.0265208342654
15-19 years,540.1695104760794
20-24 years,509.0352416297568
25-34 years,554.4803302662496
35-44 years,500.4939095125947
45-54 years,504.0120648612955
55-64 years,505.8432770962334
65-74 years,412.1509063931202
75-84 years,331.0812662910345
85+ years,251.4488883480736
