Age_Group,People_Fire_Exposure
Age_0_4_yr_P,883799668
Age_5_14_yr_P,1856959591
Age_15_19_yr_P,787483420
Age_20_24_yr_P,804033381
Age_25_34_yr_P,2009898599
Age_35_44_yr_P,1745589625
Age_45_54_yr_P,1636460141
Age_55_64_yr_P,1522585229
Age_65_74_yr_P,1013583353
Age_75_84_yr_P,455741309
Age_85ov_P,136383614
